
  0%|                                                                                                            | 0/938 [00:00<?, ?it/s]
Loss=1.774399995803833 Batch_id=38 Accuracy=24.08:   4%|#8                                              | 37/938 [00:01<00:30, 29.32it/s]
Loss=1.7862036228179932 Batch_id=39 Accuracy=24.41:   4%|#8                                             | 37/938 [00:01<00:30, 29.32it/s]
Loss=1.7546052932739258 Batch_id=40 Accuracy=24.96:   4%|#8                                             | 37/938 [00:01<00:30, 29.32it/s]
Loss=1.7546052932739258 Batch_id=40 Accuracy=24.96:   4%|##                                             | 41/938 [00:01<00:29, 30.75it/s]
Loss=1.7470721006393433 Batch_id=41 Accuracy=25.26:   4%|##                                             | 41/938 [00:01<00:29, 30.75it/s]
Loss=1.7291393280029297 Batch_id=42 Accuracy=25.69:   4%|##                                             | 41/938 [00:01<00:29, 30.75it/s]
Loss=1.8799545764923096 Batch_id=43 Accuracy=25.89:   4%|##                                             | 41/938 [00:01<00:29, 30.75it/s]
Loss=1.7571265697479248 Batch_id=44 Accuracy=26.18:   4%|##                                             | 41/938 [00:01<00:29, 30.75it/s]
Loss=1.7571265697479248 Batch_id=44 Accuracy=26.18:   5%|##2                                            | 45/938 [00:01<00:28, 30.82it/s]
Loss=1.785974383354187 Batch_id=45 Accuracy=26.43:   5%|##3                                             | 45/938 [00:01<00:28, 30.82it/s]
Loss=1.7595739364624023 Batch_id=46 Accuracy=26.63:   5%|##2                                            | 45/938 [00:01<00:28, 30.82it/s]
Loss=1.6382352113723755 Batch_id=47 Accuracy=27.12:   5%|##2                                            | 45/938 [00:01<00:28, 30.82it/s]
Loss=1.76626718044281 Batch_id=48 Accuracy=27.36:   5%|##3                                              | 45/938 [00:01<00:28, 30.82it/s]
Loss=1.76626718044281 Batch_id=48 Accuracy=27.36:   5%|##5                                              | 49/938 [00:01<00:29, 29.86it/s]
Loss=1.597779631614685 Batch_id=49 Accuracy=27.66:   5%|##5                                             | 49/938 [00:01<00:29, 29.86it/s]
Loss=1.6682499647140503 Batch_id=50 Accuracy=28.16:   5%|##4                                            | 49/938 [00:01<00:29, 29.86it/s]
Loss=1.7073025703430176 Batch_id=51 Accuracy=28.49:   5%|##4                                            | 49/938 [00:01<00:29, 29.86it/s]
Loss=1.8020765781402588 Batch_id=52 Accuracy=28.83:   5%|##4                                            | 49/938 [00:02<00:29, 29.86it/s]
Loss=1.8020765781402588 Batch_id=52 Accuracy=28.83:   6%|##6                                            | 53/938 [00:02<00:30, 29.41it/s]
Loss=1.5979483127593994 Batch_id=53 Accuracy=29.08:   6%|##6                                            | 53/938 [00:02<00:30, 29.41it/s]
Loss=1.6481437683105469 Batch_id=54 Accuracy=29.32:   6%|##6                                            | 53/938 [00:02<00:30, 29.41it/s]
Loss=1.6644775867462158 Batch_id=55 Accuracy=29.63:   6%|##6                                            | 53/938 [00:02<00:30, 29.41it/s]
Loss=1.6644775867462158 Batch_id=55 Accuracy=29.63:   6%|##8                                            | 56/938 [00:02<00:30, 29.13it/s]
Loss=1.5057240724563599 Batch_id=56 Accuracy=30.02:   6%|##8                                            | 56/938 [00:02<00:30, 29.13it/s]
Loss=1.5720244646072388 Batch_id=57 Accuracy=30.50:   6%|##8                                            | 56/938 [00:02<00:30, 29.13it/s]
Loss=1.4951163530349731 Batch_id=58 Accuracy=31.04:   6%|##8                                            | 56/938 [00:02<00:30, 29.13it/s]
Loss=1.611613154411316 Batch_id=59 Accuracy=31.25:   6%|##8                                             | 56/938 [00:02<00:30, 29.13it/s]
Loss=1.611613154411316 Batch_id=59 Accuracy=31.25:   6%|###                                             | 60/938 [00:02<00:30, 28.83it/s]
Loss=1.518350601196289 Batch_id=60 Accuracy=31.71:   6%|###                                             | 60/938 [00:02<00:30, 28.83it/s]
Loss=1.5618329048156738 Batch_id=61 Accuracy=31.96:   6%|###                                            | 60/938 [00:02<00:30, 28.83it/s]
Loss=1.5976499319076538 Batch_id=62 Accuracy=32.24:   6%|###                                            | 60/938 [00:02<00:30, 28.83it/s]
Loss=1.5742566585540771 Batch_id=63 Accuracy=32.54:   6%|###                                            | 60/938 [00:02<00:30, 28.83it/s]
